African Pygmy Angelfish,Fish,NA,1,
Bar Goby,Fish,NA,1,
Bicolored Toby,Fish,NA,1,
Bigeye Snapper,Fish,NA,1,
Black Pyramid Butterflyfish,Fish,NA,1,
Blackstripe Cardinalfish,Fish,NA,1,
Bluestriped Fangblenny,Fish,NA,1,
Broad-striped Cardinalfish,Fish,NA,1,
Comb Wrasse,Fish,NA,1,
Fire Dartfish,Fish,NA,1,
Floral Wrasse,Fish,NA,1,
Forktail Blenny,Fish,NA,1,
Freckled Hawkfish,Fish,NA,1,
Geometric Moral Eel,Fish,NA,1,
Goldbelly Cardinalfish,Fish,NA,1,
Humpback Snapper,Fish,NA,1,
Indo-Pacific Sergeant,Fish,NA,1,
Longfin Spadefish,Fish,NA,1,
Mandarin Goby,Fish,NA,1,
Mesothorax Hogfish,Fish,NA,1,
Monogrammed Monocle Bream,Fish,NA,1,
Moustache Triggerfish,Fish,NA,1,
Onespot Snapper,Fish,NA,1,
Orbicular batfish,Fish,NA,1,
Ornate Wrasse,Fish,NA,1,
Palette Surgeonfish,Fish,NA,1,
Queen Coris Wrasse,Fish,NA,1,
Raccoon Butterflyfish,Fish,NA,1,
Sandy Prawn Goby,Fish,NA,1,
Schwenk's Sweeper,Fish,NA,1,
Scissor-tailed Fusilier,Fish,NA,1,
Shrimpfish,Fish,NA,1,
Sixline Soapfish,Fish,NA,1,
Spotted Toby,Fish,NA,1,
Sunset Wrasse,Fish,NA,1,
Tubelip Wrasse,Fish,NA,1,
Vanikoro Sweeper,Fish,NA,1,
Yellow Boxfish,Fish,NA,1,
Yellow Tang,Fish,NA,1,
Yellow-striped Cardinalfish,Fish,NA,1,
Yellowback Anthias,Fish,NA,1,
Yellowback Fusilier,Fish,NA,1,
Yellowtail Fangblenny,Fish,NA,1,
Bigfin Reef Squid,Invertebrate,NA,1,
Cone Snail,Invertebrate,NA,1,
Durban Dancing Shrimp,Invertebrate,NA,1,
Glass Anemone Shrimp,Invertebrate,NA,1,
Gymnodoris,Invertebrate,NA,1,
Leopard Sea Cucumber,Invertebrate,NA,1,
Mitra Papalis,Invertebrate,NA,1,
Multi-armed Seastar,Invertebrate,NA,1,
Nassa Mud Snail,Invertebrate,NA,1,
Top Shell,Invertebrate,NA,1,
Trapezium Horse Conch,Invertebrate,NA,1,
White Spotted Octopus,Invertebrate,NA,1,
Acropora Encrusting - ACE,Benthic,Expert,1,"The most common coral genus in the Western Indian Ocean. ~Acropora can be easily identified by the distinctive protruding, cup-like corallites and ''axial'' growing points.~Thin colonies that adhere closely to and are attached to the underlying substrate."
Acropora Laminar - ACL,Benthic,Expert,1,"The most common coral genus in the Western Indian Ocean. ~Acropora can be easily identified by the distinctive protruding, cup-like corallites and ''axial'' growing points.~Flat, plate like coral structure attached to the substrate by a base coming from the side of the colony; can form layers."
Other (Gorgonian) - OG,Benthic,Expert,1,"Flexible tree or fan-like structures.~Often aligned perpendicular to the prevailing current to filter out food.~Actually a soft coral, but for surveying purposes we record as OG."
Other (Hydroid) - OH,Benthic,Expert,1,Hydroids are related to coral. They look like feathers or ferns and are often called stinging hydroids because they STING! Don't touch!
Rock (no Coralline Algae) - RCN,Benthic,Expert,1,Hard structure.~Not obviously coralline in origin.~Consolidated rubble is classified as rock.
Oxypora,Coral,NA,1,"Only one species found here (O. lacera).~Easily confused with Echinopora; however, Oxypora has fewer septo-costae, forming an even more poorly defined wall."
Dusky Surgeonfish,Fish,Expert,2,Lighter body than A. thompsoni~Light head with some speckles~Dark spot on dorsal fin~Size: 21cm~Lagoon and seaward reefs~Often in large schools~Feeds on filamentous algae
Spotted Toby,Fish,Expert,2,"Longitudinal lines on nape and upper CP~More orange on snout and tail~Blue spots on sides~Reef flats, lagoon and seaward reefs to 36m~Feeds primarily on filamentous and coralline algae, to a lesser extent on corals and benthic invertebrates"
Arc-eye Hawkfish,Fish,NA,2,
Barracuda,Fish,NA,2,
Beaufort's Crocodilefish,Fish,NA,2,
Black and White Snapper,Fish,NA,2,
Black Snapper,Fish,NA,2,
Black-saddled Toby,Fish,NA,2,
Blackedge Thicklip Wrasse,Fish,NA,2,
Blackspot Snapper,Fish,NA,2,
Bloch's Bigeye,Fish,NA,2,
Blue-streak Goby,Fish,NA,2,
Bluespotted Ribbontail Ray,Fish,NA,2,
Clown Triggerfish,Fish,NA,2,
Crescent Wrasse,Fish,NA,2,
Crocodilefish,Fish,NA,2,
Crown Butterflyfish,Fish,NA,2,
Devil Wray,Fish,NA,2,
Flaming Prawn Goby,Fish,NA,2,
Harptail Blenny,Fish,NA,2,
Honeycomb Grouper,Fish,NA,2,
Leaf Scorpionfish,Fish,NA,2,
Leopard Ray,Fish,NA,2,
Lyretail Anthias,Fish,NA,2,
Malabar Grouper,Fish,NA,2,
Masked Moral Eel,Fish,NA,2,
Oriental Sweetlips,Fish,NA,2,
Pixy Hawkfish,Fish,NA,2,
Plaintail Lionfish,Fish,NA,2,
Randall's Prawn Goby,Fish,NA,2,
Red Lionfish,Fish,NA,2,
Seagrass Parrotfish,Fish,NA,2,
Semicircle Angelfish,Fish,NA,2,
Spotted Eagle Ray,Fish,NA,2,
Spotted Snake Eel,Fish,NA,2,
Spotted Sweetlips,Fish,NA,2,
Striped Catfish,Fish,NA,2,
Teardrop Butterflyfish,Fish,NA,2,
Three-spot Angelfish,Fish,NA,2,
Twinspot Red Snapper,Fish,NA,2,
Yellow Prawn Goby,Fish,NA,2,
Yellowfin Goatfish,Fish,NA,2,
Zigzag Wrasse,Fish,NA,2,
Anemone Crab,Invertebrate,NA,2,
Blunt Slipper Lobster,Invertebrate,NA,2,
Coral Clam,Invertebrate,NA,2,
Coral Crab,Invertebrate,NA,2,
Flower Sea Urchin,Invertebrate,NA,2,
Gomphia Seastar,Invertebrate,NA,2,
Green Mantis Shrimp,Invertebrate,NA,2,
Horned Chocolate Chip Seastar,Invertebrate,NA,2,
Magnificent Partner Shrimp,Invertebrate,NA,2,
Nardoa Starfish,Invertebrate,NA,2,
Necklace Seastar,Invertebrate,NA,2,
White-banded Cleaner Shrimp,Invertebrate,NA,2,
Other (Bryozoan) - OB,Benthic,Expert,2,"Also known as sea mats and lace corals, they are unrelated to true corals.~Colonies of independent units make up lace or sheet-like structures."
Other (Tubeworm) - OT,Benthic,Expert,2,"These worm-like molluscs grow inside a shell tube, up to 15cm long, firmly cemented to live coral, dead coral or rock.~Some species have coiled tubes, often covered by coralline algae or coral.~Tubeworms will retract rapidly if you approach or waft them."
Sargassum - SA,Benthic,Expert,2,Leaf-like blades with air bladders.~Grows fast in the cooler months and shades all other flora and fauna.~Only a few species eat this plant.
Turf Algae - AT,Benthic,Expert,2,"Hairy filaments, often cover dead coral, rock, and rubble.~Like wiry turf, no more than a few millimetres long."
Zooanthids & Corallimorphs - ZC,Benthic,Expert,2,"Zoanthids look like little cogs of about 1cm diameter, that have a mouth in their centre and are surrounded by little ''teeth-like'' tentacles.~Zoanthids can live separately or in colonies where they are connected to each other just like most corals.~To avoid confusion with some massive and encrusting corals whose corallites resemble zooanthids'' polyps; perform the ''waft test''. The zooanthid polyps close."
Caulastrea,Coral,NA,2,"Phaceloid.~Fleshy walls with septa of alternating prominence and colour, and the phaceloid character give the corallites an appearance of vases.~Paliform lobes are not noticeable.~Tentacles are rarely extended during the day."
Cycloseris,Coral,NA,2,"All of the Fungidae can move to some extent, but Cycloseris are particularly known for being able to right themselves if overturned and being able to move over obstacles. This ability also makes them able to extract themselves from sediment, making them very successful in areas of high sedimentation where others may not survive.~Solitary.~Usually don''t grow larger than 8cm.~Septa have fine teeth and the underside is almost smooth."
Diploastrea,Coral,NA,2,"Massive and dome shaped, attaining huge sizes (up to 2m high and 5m across) due to its very dense skeleton which is rarely attacked by boring organisms or grazed by fish. May form large flat colonies.~Corallites are plocoid.~Corallites are slightly raised and have a very distinctive shape. ~Septa are even and become thinner from the wall to the centre.~Polyps are extended only at night.~Only one species, Diploastrea heliopora."
Favia,Coral,NA,2,"Encrusting to massive with plocoid corallites.~At times the corallites are highly compacted and may appear to be almost cerioid with only a groove running along the wall.~Tentacles are only extended at night.~Budding takes place via intratentacular budding, and distinctively, the cells subdivide equally."
Herpolithia,Coral,NA,2,"Free-living, elongate with a central (axial) furrow.~They are colonial, with many mouths."
Merulina,Coral,NA,2,"Colonies are laminar with thickened, contorted branches rising from the plates in well developed colonies.~Colonies are meandroid which is more easily discernable on the plates. ~Usually pale brown or blue, which can photograph as pink. ~The valleys tend to fan out from the centre. ~Colonies can be composed almost exclusively of branches with an encrusting base although this is usually limited to shallow water."
Cymodocea Serrulata - CS,Seagrass,NA,2,"Leaves 4-9 mm wide and 6-15 cm long. Distinguished by the serrated leaf margins (both in younger and older plants)~Triangular shaped leaf sheaths are shed, leaving a visible scar on the stem.~Rhizomes pale coloured with shoots evenly spaced."
Bluespine Unicornfish,Fish,Indicator,3,"Can grow to 70cm~Can be found from 1-80m~Usually in groups~Herbivorous fish, brown macroalgae (Sargassum, Turbinaria and Dictyota) Leafy brown algae~Susceptible to fishing pressure due to being a long-live species~Look for blue caudal spines~Thin, oval elongate bodies~Long, continuous dorsal and anal fins~Small, pointed terminal mouths"
Yellowfin Surgeonfish,Fish,Indicator,3,"Can grow to 56cm~Can be found from 0-90m~Ovate to elongate, compressed body~Continuous dorsal & anal fins~Small pointed mouth~Retractable blades located on the caudal peduncle~Feed on algae film on compact sand as well as filamentous algae on hard surfaces"
Yellowstripe Goatfish,Fish,Indicator,3,Can grow to 43cm~Can be found down to 35m~Black blotch on yellow stripe beneath dorsal fin (this can be turned on and off so is not always visible)~Single pair of chemosensory barbels on the lower jaw~Often over sand; sometimes mixed with other species~Two dorsal fins~Forked tail~Feeds alone or in small groups by day and night
Barred Thicklip Wrasse,Fish,Expert,3,"Dark body with 4 vertical white bars~Pale head with orange markings~Lagoon and seaward reefs to 18m+~Adults in areas of mixed sand, rubble and coral and feed on benthic invertebrates~Juveniles usually among branching corals and feed on demersal planktonic crustaceans"
Manyspined Angelfish,Fish,Expert,3,Compressed ovoid body~Dark brown with bright blue dorsal and anal fin margins~Black spot behind operculum~Coral-rich and rubbly areas of lagoon and seaward reefs to 30m
Scissor-tail Sergeant,Fish,Expert,3,Oval silvery fish (17cm)~4 vertical black bars~Forked tail with black stripes~Coral rich areas of lagoon and seaward reefs to 15m~Feeds on zooplankton and benthic algae
Striped Bristletooth,Fish,Expert,3,"Yellow spots on face and horizontal stripes along body~Size: 26cm~Reef flats, lagoon & seaward reefs down to 30m. Coral, rocky and rubble habitats~Herbivores: feed on detritus and algae films on the surface of seagrass and algae"
Thompson's Surgeonfish,Fish,Expert,3,Dark body colour~May have white or white-banded caudal fin~Size: 27cm~Steep outer reef slopes and dropoffs~Feeds on zooplankton~Often found in loose aggregations
Yellowbreasted Wrasse,Fish,Expert,3,"Elongate brown fish~Pale tail~Dorsal and anal fin spots~Blue specks~Yellow breast~Areas of mixed coral, rubble or rock and sand to 30m"
Yellowtop Fusilier,Fish,Expert,3,"Yellow tail and top of head and back, rest of body silver~Slim, forked tail, uniform body~In schools in mid-water in deep lagoons and along seaward reefs~Spawns in large numbers near the surface in the entrance of deep channels during outgoing tides on a lunar cycle"
Blackspotted Pufferfish,Fish,NA,3,
Bluelined Snapper,Fish,NA,3,
Cigar Wrasse,Fish,NA,3,
Emperor Angelfish,Fish,NA,3,
Lizardfish,Fish,NA,3,
Longfin Bannerfish,Fish,NA,3,
Longnose Butterflyfish,Fish,NA,3,
Madagascar Anemonefish,Fish,NA,3,
Porcupinefish,Fish,NA,3,
Rockmover Wrasse,Fish,NA,3,
Scorpionfish,Fish,NA,3,
Spotfin Lionfish,Fish,NA,3,
Tripletail Wrasse,Fish,NA,3,
Twoline Spinecheek,Fish,NA,3,
Pencil Urchin,Invertebrate,Expert,3,"The pencil urchin has spines up to 8 - 12cm in length and about 1cm thick~Like Diadema, pencil urchins are important for keeping the reef''s algae in check, but they do not tend to occur in such high abundances~Not considered keystone species with regards to algae control~Often found in cracks and crevices~The depletion of pencil urchins on coral reefs is an indication of overfishing ~Targeted by the curio trade"
Sculptured Slipper Lobster,Invertebrate,Expert,3,Greyish-brown in colour~Numerous white-tipped spines along edge of carapace and antennae~Found in reef areas and deeper sites
Glossodoris Nudibranch,Invertebrate,NA,3,
